plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,senesced_mstruct,moistening
1,MS,phloem,0.225,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,0.0375,0.00525,0.075,NA,NA,NA,6.69E-05,3.35E-07,0.015,0,NA
1,MS,endosperm,NA,NA,NA,NA,955.3833255,41.82160715,4.58E-03,NA,NA,NA,0
