plant,axis,metamer,hiddenzone_age,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,leaf_Lmax_em,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,internode_Lmax_lig,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct,mean_conc_sucrose,is_over,ratio_DZ,leaf_is_remobilizing,internode_is_remobilizing,,
1,T1,7,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,1,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,2,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,3,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,4,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,5,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T2,6,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T3,1,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T3,2,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T3,3,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T3,4,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T3,5,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T4,1,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T4,2,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T4,3,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
1,T4,4,0,#N/A,0,False,False,#N/A,#N/A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,#N/A,#N/A,NA,False,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NA,False,1.00E+00,False,False,,
